phase,lag,observations,mean_query_tokens,mean_oracle_auc,mean_previous_auc,mean_random_auc,mean_recovered_oracle_gain,median_recovered_oracle_gain,mean_load_cosine,mean_top10_jaccard,mean_previous_top10_current_load_share
all,1,855,176.7111111111111,0.9282655155138719,0.9053853940853416,0.501953125,0.9483567250924347,0.9754080821666565,0.9457979263187166,0.7293320924383876,0.4463288734300822
all,2,817,162.58139534883722,0.9281614772678358,0.8950850631478198,0.501953125,0.9253647142065208,0.9629091180198321,0.9170692190199472,0.6544679409744911,0.42689101971858195
all,3,779,148.4878048780488,0.9281308183366141,0.8852514574379973,0.501953125,0.9037257288772527,0.9524529985403726,0.8933909742040099,0.6058456495241371,0.41174334836390986
all,4,741,134.35897435897436,0.9283818092697159,0.8807915916900088,0.501953125,0.8929419295620998,0.9430870083432659,0.8747579576635826,0.5614771605546351,0.40034684273318183
all,5,703,120.62162162162163,0.9287550356201464,0.8805790064590662,0.501953125,0.8908838647665269,0.9337962747561224,0.8601442577922477,0.5268738275500537,0.3916648734097179
all,6,665,107.8,0.9290944079647115,0.8783546356925426,0.501953125,0.884608696974266,0.9237156720524237,0.8433813491604213,0.49800368216299684,0.38130244358457976
all,7,627,94.87878787878788,0.9297254236797066,0.8761154724456849,0.501953125,0.8777392802201501,0.9153982543448653,0.8269854109263689,0.47701238802532,0.374150998120007
all,8,589,82.6774193548387,0.9305476041684286,0.8732430605876284,0.501953125,0.8690444780236302,0.9039474738571256,0.8091224132768423,0.4544158386492299,0.3681461354937827
main,1,456,300.7083333333333,0.9184077312787003,0.911810754487722,0.501953125,0.9841953386933205,0.9864304383565066,0.9898821778370775,0.8347646505541243,0.4471777297397889
main,2,418,284.3636363636364,0.9173082215946143,0.9071102708697061,0.501953125,0.9755321975817033,0.9783849749758093,0.9815980806783774,0.7759473381482951,0.4387466164676812
main,3,380,267.65,0.9161600452182875,0.9025179224188796,0.501953125,0.9671863997012966,0.9705307577103186,0.9718781867162383,0.7282077571551256,0.42938502253696864
main,4,342,250.27777777777777,0.9153737730046384,0.898210498754425,0.501953125,0.9586468907317771,0.963430384901106,0.9608477083675174,0.6804345751714173,0.4204404610355848
main,5,304,233.0,0.9146108544068742,0.8938148117152285,0.501953125,0.9498272042583857,0.9552639364922006,0.948420964747639,0.6416363242021137,0.4108564777298101
main,6,266,217.0,0.9134386879521057,0.8882965937489071,0.501953125,0.9391993243385195,0.9470698349782899,0.934962641808323,0.6120780848224457,0.39985387369637354
main,7,228,199.66666666666666,0.9125646944995743,0.8827466294066554,0.501953125,0.9277790090251051,0.9372494648121601,0.9204793369546862,0.5835326953748006,0.3887895327208463
main,8,190,182.8,0.9116813081785861,0.8765874581272621,0.501953125,0.9147929321140216,0.9256310938179065,0.9056253761163483,0.5565351315351315,0.37845544658715147
