batch_size,layer_idx,step_a,step_b,step_distance,matched_tokens,similarity_matrix_pearson,nearest_expert_consistency
8,10,0,1,1,64,0.8801268052916635,0.5625
8,10,0,2,2,64,0.8641285428548475,0.5390625
8,10,0,3,3,64,0.8510101518989065,0.55859375
8,10,0,4,4,64,0.8280944005603244,0.5
8,10,0,8,8,64,0.7491283917540514,0.44140625
8,10,0,12,12,64,0.6607824838518674,0.37109375
8,10,1,2,1,64,0.9695208167610695,0.796875
8,10,1,3,2,64,0.9585170285040236,0.7265625
8,10,1,4,3,64,0.9366011203871176,0.67578125
8,10,1,8,7,64,0.8504406813886438,0.51171875
8,10,1,12,11,64,0.7536887200479063,0.43359375
8,10,2,3,1,64,0.971492329843417,0.82421875
8,10,2,4,2,64,0.9466960990208925,0.703125
8,10,2,8,6,64,0.8651171129867994,0.57421875
8,10,2,12,10,64,0.7722168910483818,0.47265625
8,10,3,4,1,64,0.9670966818570688,0.76953125
8,10,3,8,5,64,0.8875585907909364,0.58984375
8,10,3,12,9,64,0.7957279356299991,0.4921875
8,10,4,8,4,64,0.914145509589312,0.61328125
8,10,4,12,8,64,0.8271158467827336,0.51953125
8,10,8,12,4,64,0.9095846967897813,0.62109375
