steps_until_acceptance,token_transitions_per_layer,frontier_left_layer,frontier_right_layer,mean_before_frontier,mean_after_frontier,delta_after_minus_before,direction,total_sse,split_sse,variance_explained
0,960,9,10,0.46436647714425494,0.5550421152921153,0.0906756381478604,stabilizing_with_depth,0.05654551398782467,0.017598860207984967,0.688766464979444
1,902,9,10,0.514895588657599,0.6081300443828159,0.09323445572521694,stabilizing_with_depth,0.052390187173131306,0.011214411589238148,0.7859444259632357
2,849,12,13,0.5238430243141668,0.5930539630691068,0.06921093875494,stabilizing_with_depth,0.05635375107500078,0.0351762279360236,0.37579615793085663
3,774,2,3,0.6981374210056381,0.5480765911226468,-0.1500608298829913,destabilizing_with_depth,0.09028015420954476,0.0499843336508158,0.44634195534491816
4,692,2,3,0.7524648761642981,0.5451286444486036,-0.20733623171569449,destabilizing_with_depth,0.1245565142649285,0.047630059454918945,0.617602822814943
5,630,2,3,0.7743187500330357,0.5502752875301895,-0.22404346250284624,destabilizing_with_depth,0.15689492105302053,0.06707144289149497,0.5725072396140276
6,577,2,3,0.8035706254077137,0.5400231852061804,-0.2635474402015333,destabilizing_with_depth,0.22005225584915533,0.09576032900438966,0.5648291419014906
7,507,2,3,0.8208415078237563,0.5528306219569706,-0.2680108858667857,destabilizing_with_depth,0.23462366760001144,0.10608606822814975,0.5478458362137351
8,438,2,3,0.8269341262491947,0.5471589084804234,-0.27977521776877134,destabilizing_with_depth,0.2650591168884367,0.12498954508648105,0.5284465346683808
9,367,3,4,0.7701968633848743,0.5255341124210334,-0.24466275096384082,destabilizing_with_depth,0.2843233439885891,0.1330984301969401,0.5318765306788112
10,303,3,4,0.7893390804281895,0.5432820937771433,-0.24605698665104614,destabilizing_with_depth,0.3057681875475409,0.15281482161964258,0.5002265512141191
11,243,3,4,0.774726903945011,0.538171265177438,-0.23655563876757302,destabilizing_with_depth,0.31167226829657263,0.1703032487612435,0.45358228471199447
12,208,2,3,0.8205779263471571,0.5509189528420297,-0.26965897350512735,destabilizing_with_depth,0.30195549899679236,0.17183219859034368,0.4309353558347714
13,162,3,4,0.7976198470025629,0.5590531210901581,-0.2385667259124048,destabilizing_with_depth,0.29260045588789274,0.14881751008772973,0.4913968618533259
14,126,2,3,0.8322270322270322,0.5590133903859394,-0.27321364184109276,destabilizing_with_depth,0.2734115997202805,0.13983509451004472,0.48855463830683865
15,97,2,3,0.8374228291754066,0.5585317048021717,-0.2788911243732348,destabilizing_with_depth,0.3220594544706455,0.18287372738424118,0.43217401369314734
16,74,2,3,0.8429975429975429,0.5470150587797646,-0.2959824842177783,destabilizing_with_depth,0.351267512602375,0.19449954140412598,0.4462922575356576
17,56,2,3,0.8306277056277056,0.5433265380744372,-0.2873011675532684,destabilizing_with_depth,0.321013468816677,0.1733068019833075,0.4601260731453021
18,38,2,3,0.8223285486443381,0.5696204036761312,-0.2527081449682069,destabilizing_with_depth,0.3066368828400722,0.19235857641211127,0.3726828467910146
19,26,4,5,0.7722461299384377,0.5959436005589852,-0.17630252937945246,destabilizing_with_depth,0.26159672477486506,0.163441203094046,0.3752169365472504
20,18,4,5,0.7652076318742986,0.5551437040325929,-0.2100639278417057,destabilizing_with_depth,0.2842456192972301,0.1448976599910659,0.4902378430692743
21,9,2,3,0.8666666666666667,0.5318560887188338,-0.33481057794783287,destabilizing_with_depth,0.3600361359942043,0.1594394946470515,0.5571569664617829
22,6,3,4,0.8017957351290684,0.41643217893217893,-0.3853635561968895,destabilizing_with_depth,0.6361421285330124,0.2609714242516317,0.5897592494723627
23,2,4,5,0.788888888888889,0.4278003478003478,-0.36108854108854116,destabilizing_with_depth,0.6518940739022413,0.24015217546397474,0.6316085924413724
