layer_idx,observations,accepted_observations,unresolved_observations,mean_route_jaccard_accepted,mean_route_jaccard_unresolved,route_stability_acceptance_auc,confidence_acceptance_auc
1,8064,960,7104,0.5010003885003885,0.7488882926382926,0.29272182338588587,0.9745277748451576
2,8064,960,7104,0.3891788766788767,0.7252066877066877,0.21347964175112613,0.9745277748451576
3,8064,960,7104,0.4009694009694009,0.5913906726406726,0.3051466016798048,0.9745277748451576
4,8064,960,7104,0.43165177415177414,0.5388686294936295,0.37591856993712464,0.9745277748451576
5,8064,960,7104,0.4912990712990713,0.5211152929902929,0.4665574265671922,0.9745277748451576
6,8064,960,7104,0.49492192992192996,0.5222315378565379,0.47210828993055554,0.9745277748451576
7,8064,960,7104,0.4757706413956414,0.4331197612447612,0.5479067690737612,0.9745277748451576
8,8064,960,7104,0.5176572964072964,0.4955364767864768,0.5252041103603604,0.9745277748451576
9,8064,960,7104,0.47684891497391496,0.47226591289091285,0.5066143047344219,0.9745277748451576
10,8064,960,7104,0.5507745726495726,0.5284001596501596,0.5248810089386261,0.9745277748451576
11,8064,960,7104,0.5618342768342769,0.5300501113001113,0.534814159862988,0.9745277748451576
12,8064,960,7104,0.5464215182965183,0.5058355245855246,0.541505299244557,0.9745277748451576
13,8064,960,7104,0.5593188524438524,0.5313057656807657,0.5288995049737237,0.9745277748451576
14,8064,960,7104,0.559471731971732,0.5411962661962663,0.5200834623686186,0.9745277748451576
15,8064,960,7104,0.5495279951529952,0.5613218800718801,0.4834737325215841,0.9745277748451576
16,8064,960,7104,0.5699101824101824,0.5977753446503445,0.46546253284534533,0.9745277748451576
17,8064,960,7104,0.5630948912198913,0.6202745515245515,0.43046977641704204,0.9745277748451576
18,8064,960,7104,0.5407793826543827,0.6596875003125003,0.36182249143674927,0.9745277748451576
19,8064,960,7104,0.5492877492877493,0.6952925577925578,0.3364728498029279,0.9745277748451576
