phase,lag,observations,mean_query_tokens,mean_oracle_auc,mean_previous_auc,mean_random_auc,mean_recovered_oracle_gain,median_recovered_oracle_gain,mean_load_cosine,mean_top10_jaccard,mean_previous_top10_current_load_share
all,1,988,141.34615384615384,0.9304701820752845,0.898594663992826,0.501953125,0.928478943125094,0.9628123913122082,0.9208911948649211,0.6651678215145708,0.4364141381833434
all,2,950,127.34,0.9307478480481727,0.8861064675814371,0.501953125,0.8997814704076658,0.9419557811803332,0.8756782123252095,0.5762024764835585,0.40384001346547693
all,3,912,115.70833333333333,0.9310851804900161,0.8772817719099831,0.501953125,0.879235166954768,0.9255351735885526,0.8421824995554864,0.5239021906418436,0.3830095134556578
all,4,874,104.73913043478261,0.931437841936406,0.8725508424497244,0.501953125,0.867549760193305,0.9128733415607151,0.8170255449320127,0.4828504899280168,0.36767970702983677
all,5,836,94.31818181818181,0.9319574857426438,0.8666417890843129,0.501953125,0.8532219589745321,0.9015326750076906,0.7920902785285806,0.4473801901605685,0.3526372995057447
all,6,798,84.23809523809524,0.9325416293127827,0.8619337929470221,0.501953125,0.8414116459888639,0.8917059655115578,0.7708002165289927,0.4190363165694295,0.3393476637028603
all,7,760,74.375,0.9335084955235268,0.8574144207647072,0.501953125,0.8294074024034251,0.8805600585587209,0.7497636243338671,0.3987247032067384,0.3267708127551513
all,8,722,65.42105263157895,0.9346416330391724,0.8534034414884962,0.501953125,0.8183932000358594,0.8715503115462135,0.7283848386259852,0.3768714448982109,0.3133141400366826
main,1,456,271.375,0.916381197141389,0.9068605178960649,0.501953125,0.9770020398948642,0.9815221859740604,0.9795764988222094,0.7828939457228931,0.41868214785951413
main,2,418,251.36363636363637,0.9157314393585081,0.901266488918838,0.501953125,0.9649868723156891,0.9711307801844309,0.9639729270986613,0.7111036421126485,0.40827389461229574
main,3,380,235.85,0.9150393963499657,0.8962749057320922,0.501953125,0.954482517955886,0.9619357555773929,0.9493640402764955,0.6652705696436346,0.39854281692559695
main,4,342,221.16666666666666,0.9141577773640677,0.89133321199614,0.501953125,0.9445101430765883,0.9555050113323238,0.935767837298316,0.6241266521194282,0.3886131019971692
main,5,304,207.0625,0.9134267897596793,0.8863785823600082,0.501953125,0.9341271695206165,0.9473461717888688,0.9206147614628498,0.5844581652437689,0.3783067330716886
main,6,266,192.92857142857142,0.9125319781868155,0.8811748238234028,0.501953125,0.9233482874835601,0.9399849656857827,0.906244036332278,0.5548258010111172,0.3683651950031431
main,7,228,178.16666666666666,0.9124199237016342,0.8762984334371319,0.501953125,0.911727519977248,0.9319685822404045,0.8911419125449233,0.5412436577297258,0.3596152645110087
main,8,190,164.9,0.9125081318967092,0.8726541180350484,0.501953125,0.9027674488310786,0.9241141153480383,0.8776599355317464,0.5281152777119862,0.35239475575172013
