step,metric,observations,mean_query_tokens,mean_observed,mean_null,mean_observed_minus_null,fraction_outside_null_95
1,active_experts,76,245.5,107.67105263157895,78.66031044407895,29.0107421875,1.0
1,effective_experts,76,245.5,37.17301321093223,26.877182383107378,10.29583082782486,1.0
1,top10_load_share,76,245.5,0.45840545483528233,0.5538100961040818,-0.09540464126879941,1.0
2,active_experts,76,203.25,108.88157894736842,76.43328536184211,32.448293585526315,1.0
2,effective_experts,76,203.25,37.05469310111194,26.794699740617006,10.259993360494931,1.0
2,top10_load_share,76,203.25,0.4558037690218511,0.5544043775248365,-0.0986006085029854,0.9868421052631579
3,active_experts,76,180.5,103.03947368421052,75.01798930921052,28.021484375,0.9868421052631579
3,effective_experts,76,180.5,37.48525460679018,26.741381944025665,10.74387266276451,1.0
3,top10_load_share,76,180.5,0.44925804219539406,0.5548678521762125,-0.10560980998081844,0.9605263157894737
4,active_experts,76,161.25,101.23684210526316,73.65804893092105,27.578793174342106,0.9736842105263158
4,effective_experts,76,161.25,37.83354656605249,26.68533942479027,11.148207141262217,1.0
4,top10_load_share,76,161.25,0.4467756093156351,0.555287524374933,-0.10851191505929793,0.9605263157894737
5,active_experts,76,145.0,97.30263157894737,72.31306537828948,24.989566200657894,0.9473684210526315
5,effective_experts,76,145.0,37.02063647124215,26.61091812272679,10.409718348515359,0.9605263157894737
5,top10_load_share,76,145.0,0.4520080801881061,0.5559083889508813,-0.1039003087627753,0.9736842105263158
6,active_experts,76,132.0,100.55263157894737,71.18462171052632,29.36800986842105,0.9473684210526315
6,effective_experts,76,132.0,38.11997472704422,26.560300417356313,11.559674309687914,0.9868421052631579
6,top10_load_share,76,132.0,0.44306926793224366,0.5562889989806289,-0.11321973104838523,0.9605263157894737
7,active_experts,76,114.75,96.48684210526316,69.314453125,27.172388980263158,0.9210526315789473
7,effective_experts,76,114.75,38.18732377551017,26.452016051105712,11.73530772440446,0.9868421052631579
7,top10_load_share,76,114.75,0.43868323594175324,0.5571668573203825,-0.1184836213786292,1.0
8,active_experts,76,100.75,92.25,67.68888774671052,24.561112253289473,0.9473684210526315
8,effective_experts,76,100.75,37.35310140593634,26.346163143079124,11.006938262857215,0.9868421052631579
8,top10_load_share,76,100.75,0.4411669696945197,0.5579877379711776,-0.116820768276658,0.9605263157894737
9,active_experts,76,90.75,89.67105263157895,66.28351151315789,23.38754111842105,0.9342105263157895
