group_id,layer_idx,source_step,target_step,lag,query_tokens,oracle_auc,previous_auc,random_auc,recovered_oracle_gain,load_cosine,top10_jaccard,previous_top10_current_load_share
0,1,0,1,1,242,0.9738547585227273,0.9473079965134298,0.501953125,0.9437451364363226,0.9747271169388055,0.6666666666666666,0.793904958677686
0,2,0,1,1,242,0.9705800458419421,0.933539272339876,0.501953125,0.9209589294709785,0.9756283905840485,0.8181818181818182,0.8042355371900827
0,3,0,1,1,242,0.9621824154183884,0.939818327091942,0.501953125,0.9514066384038367,0.9652726356380196,0.8181818181818182,0.6895661157024794
0,4,0,1,1,242,0.9548178428460744,0.9414445861311985,0.501953125,0.9704696431674297,0.9888357678331203,1.0,0.6368801652892562
0,5,0,1,1,242,0.9428973237345042,0.9215602401859504,0.501953125,0.9516104676968411,0.9731109459432371,0.6666666666666666,0.4839876033057851
0,6,0,1,1,242,0.9347902408316116,0.9201559271694213,0.501953125,0.9661897902769422,0.9757910835340817,0.6666666666666666,0.47830578512396693
0,7,0,1,1,242,0.912313161802686,0.8926870803202479,0.501953125,0.952173506866423,0.9575473631464885,0.6666666666666666,0.3600206611570248
0,8,0,1,1,242,0.9306741509555785,0.9166088261880164,0.501953125,0.9671923607287238,0.9712721874604171,0.5384615384615384,0.4271694214876033
0,9,0,1,1,242,0.9235032767303719,0.9099766754907024,0.501953125,0.9679122372886221,0.9771592055052685,0.6666666666666666,0.42458677685950413
0,10,0,1,1,242,0.9277868349690083,0.9142400568181818,0.501953125,0.96818763326226,0.9713606854461782,0.8181818181818182,0.46539256198347106
0,11,0,1,1,242,0.9303412319214877,0.9206522791838844,0.501953125,0.9773827690800505,0.9614396085675834,0.6666666666666666,0.4628099173553719
0,12,0,1,1,242,0.9094359342716942,0.8873341457902892,0.501953125,0.9457601941026466,0.9444905294600292,0.5384615384615384,0.34607438016528924
0,13,0,1,1,242,0.9041273889462811,0.8885931850464875,0.501953125,0.9613744456262162,0.9450878305867834,0.42857142857142855,0.30010330578512395
0,14,0,1,1,242,0.9100472946797521,0.8892085808367769,0.501953125,0.9489365068378013,0.9651230116576692,0.5384615384615384,0.34710743801652894
0,15,0,1,1,242,0.9052754551911157,0.8902376033057852,0.501953125,0.962715052553116,0.952735741349363,0.8181818181818182,0.3347107438016529
0,16,0,1,1,242,0.9127489830836777,0.8983991638688016,0.501953125,0.9650682475674983,0.944232898878177,0.42857142857142855,0.359504132231405
