step,metric,observations,mean_query_tokens,mean_observed,mean_null,mean_observed_minus_null,fraction_outside_null_95
1,active_experts,76,240.5,96.65789473684211,82.32899876644737,14.328895970394736,0.9736842105263158
1,effective_experts,76,240.5,30.394725497126956,27.027265665598566,3.3674598315283877,0.9605263157894737
1,top10_load_share,76,240.5,0.5078639709498348,0.540666783081897,-0.03280281213206211,0.8947368421052632
2,active_experts,76,225.75,99.55263157894737,81.57267680921052,17.979954769736842,0.9868421052631579
2,effective_experts,76,225.75,30.892610896582323,27.004228775488723,3.8883821210936,0.9605263157894737
2,top10_load_share,76,225.75,0.5015821801719675,0.5408903842942343,-0.039308204122266724,0.8947368421052632
3,active_experts,76,211.5,106.78947368421052,80.7923519736842,25.997121710526315,1.0
3,effective_experts,76,211.5,32.44826828445675,26.97237111523049,5.475897169226263,0.9868421052631579
3,top10_load_share,76,211.5,0.4826835401740297,0.5411560782631619,-0.058472538089132206,0.9605263157894737
4,active_experts,76,190.5,104.97368421052632,79.52611019736842,25.447574013157894,0.9868421052631579
4,effective_experts,76,190.5,32.22742771303401,26.933368286456094,5.294059426577914,0.8947368421052632
4,top10_load_share,76,190.5,0.4858179238089514,0.5415150134467251,-0.05569708963777381,0.8289473684210527
5,active_experts,76,172.25,104.1842105263158,78.27318050986842,25.91103001644737,0.9868421052631579
5,effective_experts,76,172.25,32.282853973577936,26.877791599850084,5.40506237372785,0.8947368421052632
5,top10_load_share,76,172.25,0.481592477697205,0.5419731125563418,-0.06038063485913675,0.9210526315789473
6,active_experts,76,158.0,102.90789473684211,77.1849300986842,25.722964638157894,0.9868421052631579
6,effective_experts,76,158.0,32.874151018593096,26.83529810437683,6.038852914216267,0.9342105263157895
6,top10_load_share,76,158.0,0.4750059482230026,0.5423505472149983,-0.06734459899199573,0.8947368421052632
7,active_experts,76,143.5,105.40789473684211,75.94341077302632,29.46448396381579,1.0
7,effective_experts,76,143.5,34.365395291208,26.786545275308207,7.578850015899799,0.9078947368421053
7,top10_load_share,76,143.5,0.45881043287848494,0.5427956319820794,-0.08398519910359448,0.9473684210526315
8,active_experts,76,126.75,103.72368421052632,74.29769736842105,29.425986842105264,1.0
8,effective_experts,76,126.75,35.294972993937584,26.710851133029575,8.584121860908013,0.9210526315789473
8,top10_load_share,76,126.75,0.44696235194328315,0.5434683120844939,-0.09650596014121077,0.9342105263157895
9,active_experts,76,108.0,100.27631578947368,72.13630756578948,28.14000822368421,0.9736842105263158
9,effective_experts,76,108.0,35.621425555296376,26.59353000421458,9.0278955510818,0.8947368421052632
9,top10_load_share,76,108.0,0.4445266461292582,0.5445253049826905,-0.09999865885343227,0.9342105263157895
10,active_experts,76,90.25,95.32894736842105,69.65131578947368,25.67763157894737,0.9736842105263158
10,effective_experts,76,90.25,35.9088572483107,26.43952757493539,9.469329673375313,0.881578947368421
10,top10_load_share,76,90.25,0.43964711440885734,0.5456484334725874,-0.10600131906373002,0.9342105263157895
11,active_experts,76,75.25,94.8157894736842,66.87191611842105,27.943873355263158,0.9736842105263158
11,effective_experts,76,75.25,37.08649062975088,26.214348996790932,10.872141632959943,0.881578947368421
11,top10_load_share,76,75.25,0.4257796573097975,0.5476410894394373,-0.12186143212963997,0.9342105263157895
12,active_experts,76,59.75,84.64473684210526,63.410002055921055,21.23473478618421,0.9078947368421053
12,effective_experts,76,59.75,34.63496924144803,25.934162482506178,8.700806758941852,0.8157894736842105
12,top10_load_share,76,59.75,0.44311836482146494,0.5502440510661686,-0.10712568624470364,0.8421052631578947
13,active_experts,76,50.25,83.46052631578948,60.60618832236842,22.85433799342105,0.9078947368421053
13,effective_experts,76,50.25,36.38921364473961,25.69096352866548,10.698250116074135,0.8026315789473685
13,top10_load_share,76,50.25,0.4260397802021666,0.5522180310151189,-0.12617825081295236,0.8552631578947368
14,active_experts,76,38.5,75.17105263157895,56.244089226973685,18.926963404605264,0.8289473684210527
14,effective_experts,76,38.5,35.19661009050054,25.178987282096614,10.017622808403928,0.7105263157894737
