source,configured_batch_size,group_id,step,layer_idx,query_tokens,query_fraction,num_experts,top_k,assignments,active_experts,active_ratio,effective_experts,effective_ratio,top10_load_share,adjacent_top10_jaccard,hot_experts
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,1,512,1.0,256,8,4096,44,0.171875,12.028764846661572,0.046987362682271765,0.845458984375,,19 23 48 100 103 131 146 147 148 153
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,2,512,1.0,256,8,4096,58,0.2265625,12.763483381134602,0.04985735695755704,0.845458984375,,1 4 13 14 115 138 157 158 159 225
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,3,512,1.0,256,8,4096,62,0.2421875,17.781365258900635,0.0694584580425806,0.680908203125,,33 130 131 135 143 157 163 164 169 231
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,4,512,1.0,256,8,4096,84,0.328125,17.911095832790643,0.06996521809683845,0.6630859375,,2 8 11 21 64 127 208 211 216 242
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,5,512,1.0,256,8,4096,79,0.30859375,25.363839494936972,0.09907749802709755,0.53759765625,,55 72 133 194 203 216 219 226 241 255
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,6,512,1.0,256,8,4096,99,0.38671875,25.094705604317365,0.09802619376686471,0.52197265625,,4 68 96 116 120 127 193 201 210 240
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,7,512,1.0,256,8,4096,104,0.40625,34.11639729626406,0.1332671769385315,0.44384765625,,37 60 76 96 109 166 179 183 190 238
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,8,512,1.0,256,8,4096,105,0.41015625,29.906337345274085,0.1168216302549769,0.472900390625,,34 45 76 106 149 160 165 166 183 255
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,9,512,1.0,256,8,4096,115,0.44921875,34.25501557861381,0.1338086546039602,0.454345703125,,93 104 125 143 156 157 200 202 211 218
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,10,512,1.0,256,8,4096,112,0.4375,27.40766104264412,0.10706117594782859,0.511962890625,,3 32 42 167 184 185 186 242 245 254
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,11,512,1.0,256,8,4096,105,0.41015625,31.534460592299652,0.12318148668867052,0.465576171875,,7 69 74 76 84 96 120 130 167 253
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,12,512,1.0,256,8,4096,129,0.50390625,40.710528742326076,0.15902550289971124,0.4033203125,,17 26 89 115 139 152 157 172 185 189
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,13,512,1.0,256,8,4096,114,0.4453125,43.16015641078411,0.16859436097962543,0.36669921875,,24 31 71 91 111 136 137 145 166 203
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,14,512,1.0,256,8,4096,127,0.49609375,33.361867301933245,0.13031979414817674,0.440185546875,,3 68 90 100 126 127 146 152 166 192
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,15,512,1.0,256,8,4096,115,0.44921875,39.09752232517385,0.15272469658271035,0.405029296875,,66 105 110 123 166 183 199 221 244 252
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,16,512,1.0,256,8,4096,107,0.41796875,35.43818411480666,0.13843040669846352,0.42626953125,,6 26 27 101 108 118 121 162 172 252
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,17,512,1.0,256,8,4096,104,0.40625,29.906230726175323,0.11682121377412236,0.48046875,,84 90 93 99 161 195 210 217 219 240
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,18,512,1.0,256,8,4096,88,0.34375,27.816638370118845,0.10865874363327674,0.51953125,,28 70 72 147 149 156 181 188 218 219
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,0,19,512,1.0,256,8,4096,104,0.40625,27.34806265995077,0.1068283697654327,0.515380859375,,44 67 70 132 145 148 164 182 183 244
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,1,1,482,0.94140625,256,8,3856,79,0.30859375,11.929019907993524,0.046597734015599704,0.8516597510373444,0.6666666666666666,15 23 48 100 107 131 146 147 148 153
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,1,2,482,0.94140625,256,8,3856,83,0.32421875,13.620823401592865,0.05320634141247213,0.804201244813278,0.8181818181818182,1 4 13 14 109 138 157 158 159 225
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,1,3,482,0.94140625,256,8,3856,88,0.34375,17.31193472368409,0.06762474501439097,0.7092842323651453,1.0,33 130 131 135 143 157 163 164 169 231
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,1,4,482,0.94140625,256,8,3856,94,0.3671875,20.35368875236476,0.07950659668892485,0.6304460580912863,1.0,2 8 11 21 64 127 208 211 216 242
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,1,5,482,0.94140625,256,8,3856,95,0.37109375,28.995534269121713,0.11326380573875669,0.5012966804979253,0.8181818181818182,32 55 72 133 194 203 216 226 241 255
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,1,6,482,0.94140625,256,8,3856,115,0.44921875,28.047974224606598,0.10956239931486952,0.4743257261410788,0.6666666666666666,68 82 96 116 120 127 149 201 210 240
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,1,7,482,0.94140625,256,8,3856,118,0.4609375,41.739614738957854,0.16304537007405412,0.3934128630705394,0.8181818181818182,37 60 96 109 126 166 179 183 190 238
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,1,8,482,0.94140625,256,8,3856,110,0.4296875,32.590867643964366,0.1273080767342358,0.4551348547717842,0.8181818181818182,34 76 106 149 160 165 166 168 183 255
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,1,9,482,0.94140625,256,8,3856,124,0.484375,36.98524941669279,0.1444736305339562,0.4447614107883817,0.8181818181818182,47 93 104 125 143 157 200 202 211 218
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,1,10,482,0.94140625,256,8,3856,116,0.453125,30.897102033522152,0.12069180481844591,0.47276970954356845,0.8181818181818182,32 42 167 184 185 186 225 242 245 254
/root/lkd/FOCUS/results/llada2_moe_denoising/gsm8k_bs16/routes_bs16.jsonl,16,0,1,11,482,0.94140625,256,8,3856,112,0.4375,33.93541908213663,0.13256023078959622,0.4434647302904564,0.8181818181818182,69 74 76 84 96 100 120 130 167 253
