steps_until_acceptance,observations,mean_route_jaccard,median_route_jaccard
0,18259,0.5144361051803956,0.45454545454545453
1,17157,0.5680409414628684,0.6
2,16131,0.5490155495734815,0.6
3,14687,0.5521338363715976,0.6
4,13129,0.5672313434823908,0.6
5,12179,0.561303775459289,0.6
6,10811,0.5665476036209548,0.6
7,9519,0.5746266130129981,0.6
8,8265,0.5693077534819821,0.6
9,6764,0.567026219066432,0.6
10,5643,0.5791656784745567,0.6
11,4579,0.5760806857116095,0.6
12,3743,0.598121390587327,0.6
13,2888,0.5918524227388493,0.6
14,2356,0.5698663438052232,0.6
15,1843,0.574235205922672,0.6
16,1254,0.5866763397863877,0.6
17,931,0.5663829189070865,0.6
18,589,0.6104868909622729,0.6
19,456,0.6342317039685461,0.6
20,342,0.5411898692600446,0.6
21,114,0.4878793720898984,0.45454545454545453
22,19,0.4208014208014208,0.45454545454545453
