steps_until_acceptance,layer_idx,token_transitions,mean_route_jaccard,median_route_jaccard,mean_route_change
0,1,961,0.500619972003947,0.45454545454545453,0.49938002799605297
0,2,961,0.39392206821967485,0.3333333333333333,0.6060779317803251
0,3,961,0.4035915523948822,0.3333333333333333,0.5964084476051178
0,4,961,0.4336982938439754,0.3333333333333333,0.5663017061560246
0,5,961,0.49220817337362605,0.45454545454545453,0.5077918266263739
0,6,961,0.49826348931447784,0.45454545454545453,0.5017365106855222
0,7,961,0.47946434418858974,0.45454545454545453,0.5205356558114103
0,8,961,0.5211403465305651,0.45454545454545453,0.47885965346943493
0,9,961,0.4758751480915893,0.45454545454545453,0.5241248519084107
0,10,961,0.5509979672310578,0.6,0.44900203276894224
0,11,961,0.5642881803131543,0.6,0.4357118196868457
0,12,961,0.5444256980157085,0.6,0.4555743019842915
0,13,961,0.5690558025625663,0.6,0.43094419743743373
0,14,961,0.5596675494698388,0.6,0.44033245053016123
0,15,961,0.5563711349351307,0.6,0.4436288650648693
0,16,961,0.5681266819664321,0.6,0.4318733180335679
0,17,961,0.5650734281327413,0.6,0.4349265718672587
0,18,961,0.5407316235620085,0.45454545454545453,0.45926837643799145
0,19,961,0.5567645442775515,0.6,0.4432354557224485
1,1,903,0.5642396977945151,0.6,0.4357603022054849
1,2,903,0.5258456567426667,0.6,0.4741543432573333
1,3,903,0.47924481080627257,0.45454545454545453,0.5207551891937274
1,4,903,0.4844361741371708,0.45454545454545453,0.5155638258628292
1,5,903,0.5313218588966097,0.45454545454545453,0.46867814110339034
1,6,903,0.5338297730324308,0.6,0.46617022696756916
1,7,903,0.4970364937142346,0.45454545454545453,0.5029635062857654
1,8,903,0.5479871918410124,0.45454545454545453,0.4520128081589876
1,9,903,0.5185626727154966,0.45454545454545453,0.4814373272845034
1,10,903,0.5899901992925248,0.6,0.41000980070747517
1,11,903,0.6009391125670195,0.6,0.3990608874329805
1,12,903,0.5902150513446195,0.6,0.4097849486553805
1,13,903,0.6069363391622528,0.6,0.39306366083774724
1,14,903,0.5950450681347692,0.6,0.4049549318652308
1,15,903,0.5983220175911206,0.6,0.4016779824088794
1,16,903,0.6332635987121037,0.6,0.3667364012878963
1,17,903,0.6287312785651656,0.6,0.37126872143483436
1,18,903,0.6237305207404875,0.6,0.3762694792595125
1,19,903,0.6431003720040265,0.6,0.3568996279959735
2,1,849,0.620017621431049,0.6,0.379982378568951
2,2,849,0.6027949278832672,0.6,0.39720507211673284
2,3,849,0.4831281007959453,0.45454545454545453,0.5168718992040546
2,4,849,0.46989680911942394,0.45454545454545453,0.530103190880576
2,5,849,0.5066862727640112,0.45454545454545453,0.49331372723598876
2,6,849,0.5120458131058838,0.45454545454545453,0.4879541868941162
2,7,849,0.4551902749782608,0.45454545454545453,0.5448097250217392
2,8,849,0.5181687308895789,0.45454545454545453,0.48183126911042107
2,9,849,0.47746264990081244,0.45454545454545453,0.5225373500991876
2,10,849,0.5408587747810363,0.6,0.4591412252189637
2,11,849,0.5520656283907167,0.6,0.4479343716092833
2,12,849,0.5399043307170516,0.6,0.4600956692829484
2,13,849,0.555170624428575,0.6,0.444829375571425
2,14,849,0.5633881626814489,0.6,0.43661183731855113
2,15,849,0.5746759718491167,0.6,0.4253240281508833
2,16,849,0.6047019071754054,0.6,0.3952980928245946
2,17,849,0.6026355531655885,0.6,0.3973644468344115
2,18,849,0.6210983885895547,0.6,0.3789016114104453
2,19,849,0.6314048992494222,0.6,0.3685951007505778
3,1,773,0.695763227716656,0.7777777777777778,0.304236772283344
3,2,773,0.6883026704501478,0.7777777777777778,0.3116973295498522
3,3,773,0.527899784562139,0.6,0.47210021543786096
3,4,773,0.4944252527693666,0.45454545454545453,0.5055747472306333
3,5,773,0.5203207601655209,0.45454545454545453,0.47967923983447913
3,6,773,0.5109624887115185,0.45454545454545453,0.4890375112884815
3,7,773,0.44625022813897325,0.45454545454545453,0.5537497718610267
3,8,773,0.49808127764143284,0.45454545454545453,0.5019187223585672
3,9,773,0.4625619601040041,0.45454545454545453,0.5374380398959959
3,10,773,0.5110586696615157,0.45454545454545453,0.4889413303384843
3,11,773,0.5386103906155653,0.45454545454545453,0.46138960938443474
3,12,773,0.5073316506692962,0.45454545454545453,0.4926683493307038
3,13,773,0.5334825588383156,0.6,0.46651744116168437
3,14,773,0.5511781591988578,0.6,0.4488218408011422
3,15,773,0.5451408157747096,0.6,0.45485918422529037
3,16,773,0.5807751541257362,0.6,0.4192248458742638
3,17,773,0.606297195689175,0.6,0.39370280431082505
3,18,773,0.6208895603462227,0.6,0.37911043965377733
3,19,773,0.6512110858812024,0.6,0.34878891411879764
4,1,691,0.7585083833998449,0.7777777777777778,0.24149161660015506
4,2,691,0.7350090976719053,0.7777777777777778,0.26499090232809475
4,3,691,0.5738867018172372,0.6,0.4261132981827628
4,4,691,0.5191822809767818,0.45454545454545453,0.48081771902321824
4,5,691,0.5227275056508052,0.45454545454545453,0.47727249434919483
4,6,691,0.5316467420664236,0.45454545454545453,0.4683532579335764
4,7,691,0.4446334819706744,0.45454545454545453,0.5553665180293256
4,8,691,0.5002614044582206,0.45454545454545453,0.49973859554177935
4,9,691,0.46146797405842266,0.45454545454545453,0.5385320259415773
4,10,691,0.5201016703187471,0.45454545454545453,0.4798983296812529
4,11,691,0.534733123445135,0.6,0.465266876554865
4,12,691,0.5036846093286036,0.45454545454545453,0.4963153906713964
4,13,691,0.5431957012275391,0.6,0.45680429877246087
4,14,691,0.5503196915642646,0.6,0.44968030843573537
4,15,691,0.5588414158602292,0.6,0.4411585841397708
4,16,691,0.6012767422318797,0.6,0.39872325776812034
4,17,691,0.6153539337330943,0.6,0.3846460662669057
4,18,691,0.628082738936574,0.6,0.37191726106342604
4,19,691,0.6744823274490424,0.6,0.32551767255095765
5,1,641,0.795761631331054,0.7777777777777778,0.20423836866894596
5,2,641,0.7639005127304659,0.7777777777777778,0.23609948726953411
5,3,641,0.6088983992260124,0.6,0.3911016007739876
5,4,641,0.5311779224415729,0.45454545454545453,0.4688220775584271
5,5,641,0.5165876591773628,0.45454545454545453,0.4834123408226372
5,6,641,0.5210667301150921,0.45454545454545453,0.4789332698849079
5,7,641,0.4169081395290444,0.3333333333333333,0.5830918604709556
5,8,641,0.4890221582889289,0.45454545454545453,0.5109778417110711
5,9,641,0.45067551619813706,0.45454545454545453,0.5493244838018629
